iter	Passed	Remaining
946	17010	72801
947	17026	72776
948	17041	72743
949	17055	72712
950	17071	72685
951	17086	72653
952	17100	72618
953	17117	72594
954	17131	72563
955	17146	72533
956	17161	72501
957	17178	72477
958	17199	72475
959	17214	72442
960	17228	72409
961	17242	72376
962	17261	72360
963	17275	72326
964	17288	72291
965	17309	72284
966	17323	72249
967	17343	72242
968	17363	72231
969	17379	72204
970	17401	72203
971	17418	72181
972	17434	72158
973	17456	72155
974	17471	72125
975	17485	72091
976	17500	72060
977	17518	72045
978	17533	72015
979	17551	71996
980	17568	71976
981	17590	71976
982	17606	71946
983	17680	72160
984	17696	72133
985	17719	72136
986	17739	72127
987	17753	72090
988	17773	72081
989	17788	72054
990	17809	72046
991	17831	72043
992	17846	72013
993	17861	71984
994	17878	71964
995	17894	71938
996	17912	71917
997	17933	71911
998	17949	71886
999	17964	71858
1000	17980	71831
1001	17996	71807
1002	18011	71776
1003	18026	71748
1004	18041	71717
1005	18059	71700
1006	18074	71670
1007	18089	71640
1008	18105	71613
1009	18124	71600
1010	18139	71573
1011	18167	71592
1012	18189	71590
1013	18217	71610
1014	18234	71588
1015	18251	71570
1016	18268	71548
1017	18283	71519
1018	18298	71486
1019	18313	71460
1020	18331	71440
1021	18362	71472
1022	18381	71458
1023	18396	71431
1024	18417	71425
1025	18438	71418
1026	18453	71388
1027	18468	71360
1028	18486	71340
1029	18503	71319
1030	18526	71319
1031	18552	71334
1032	18570	71315
1033	18598	71335
1034	18614	71312
1035	18629	71282
1036	18643	71248
1037	18660	71225
1038	18674	71193
1039	18690	71169
1040	18709	71155
1041	18725	71129
1042	18740	71098
1043	18755	71069
1044	18770	71039
1045	18783	71005
1046	18797	70971
1047	18811	70938
1048	18889	71146
1049	18921	71182
1050	18939	71161
1051	18955	71135
1052	18969	71102
1053	18984	71073
1054	18998	71042
1055	19014	71014
1056	19029	70985
1057	19053	70992
1058	19068	70962
1059	19083	70932
1060	19098	70904
1061	19115	70880
1062	19131	70856
1063	19148	70835
1064	19164	70809
1065	19179	70780
1066	19214	70826
1067	19231	70803
1068	19259	70821
1069	19286	70838
1070	19303	70814
1071	19317	70782
1072	19335	70763
1073	19356	70758
1074	19374	70738
1075	19388	70705
1076	19406	70689
1077	19422	70664
1078	19441	70648
1079	19459	70629
1080	19488	70650
1081	19504	70628
1082	19520	70601
1083	19536	70576
1084	19551	70546
1085	19565	70514
1086	19582	70493
1087	19597	70466
1088	19612	70435
1089	19626	70403
1090	19645	70388
1091	19660	70358
1092	19679	70343
1093	19692	70309
1094	19707	70279
1095	19721	70249
1096	19740	70236
1097	19757	70214
1098	19773	70187
1099	19789	70164
1100	19806	70141
1101	19822	70116
1102	19839	70094
1103	19863	70097
1104	19878	70068
1105	19893	70041
1106	19908	70013
1107	19924	69985
1108	19937	69951
1109	19952	69923
1110	19968	69898
1111	19984	69873
1112	20000	69847
1113	20016	69823
1114	20031	69794
1115	20046	69768
1116	20065	69754
1117	20084	69740
1118	20100	69713
1119	20115	69684
1120	20131	69662
1121	20148	69641
1122	20162	69609
1123	20179	69588
1124	20195	69562
1125	20210	69532
1126	20225	69504
1127	20239	69474
1128	20254	69445
1129	20271	69426
1130	20289	69408
1131	20306	69385
1132	20320	69356
1133	20334	69324
1134	20349	69295
1135	20364	69266
1136	20378	69237
1137	20398	69224
1138	20412	69193
1139	20429	69175
1140	20446	69151
1141	20461	69123
1142	20476	69098
1143	20493	69075
1144	20508	69048
1145	20524	69023
1146	20540	68998
1147	20558	68980
1148	20578	68971
1149	20594	68947
1150	20609	68919
1151	20625	68895
1152	20640	68866
1153	20655	68840
1154	20672	68818
1155	20688	68793
1156	20703	68767
1157	20718	68739
1158	20735	68719
1159	20751	68692
1160	20767	68669
1161	20782	68641
1162	20797	68614
1163	20811	68585
1164	20828	68564
1165	20844	68541
1166	20863	68524
1167	20878	68499
1168	20896	68480
1169	20920	68481
1170	20935	68454
1171	20951	68432
1172	21031	68616
1173	21046	68590
1174	21061	68563
1175	21078	68540
1176	21094	68515
1177	21122	68532
1178	21156	68565
1179	21176	68556
1180	21194	68535
1181	21213	68521
1182	21241	68535
1183	21279	68584
1184	21297	68564
1185	21315	68547
1186	21330	68519
1187	21346	68495
1188	21361	68468
1189	21376	68440
1190	21404	68454
1191	21423	68440
1192	21443	68429
1193	21465	68422
1194	21487	68419
1195	21521	68452
1196	21542	68443
1197	21564	68438
1198	21583	68423
1199	21600	68400
1200	21616	68376
1201	21630	68345
1202	21651	68337
1203	21673	68333
1204	21693	68321
1205	21707	68290
1206	21729	68285
1207	21748	68269
1208	21764	68245
1209	21780	68221
1210	21797	68200
1211	21813	68176
1212	21836	68174
1213	21852	68149
1214	21866	68119
1215	21882	68094
1216	21898	68070
1217	21916	68051
1218	21934	68034
1219	21948	68004
1220	21968	67994
1221	21987	67977
1222	22015	67989
1223	22040	67994
1224	22058	67974
1225	22080	67969
1226	22098	67952
1227	22115	67930
1228	22137	67927
1229	22153	67900
1230	22168	67872
1231	22185	67854
1232	22207	67848
1233	22221	67817
1234	22296	67973
1235	22341	68036
1236	22359	68017
1237	22375	67995
1238	22396	67985
1239	22413	67964
1240	22429	67939
1241	22444	67911
1242	22462	67892
1243	22484	67887
1244	22500	67862
1245	22514	67832
1246	22536	67827
1247	22553	67805
1248	22568	67776
1249	22585	67756
1250	22605	67745
1251	22619	67715
1252	22634	67685
1253	22649	67659
1254	22665	67635
1255	22682	67612
1256	22696	67582
1257	22710	67553
1258	22730	67541
1259	22750	67530
1260	22766	67506
1261	22784	67488
1262	22800	67461
1263	22821	67452
1264	22835	67422
1265	22850	67397
1266	22864	67366
1267	22888	67367
1268	22904	67340
1269	22923	67327
1270	22942	67310
1271	22962	67299
1272	22982	67286
1273	22999	67266
1274	23015	67242
1275	23036	67230
1276	23051	67204
1277	23070	67188
1278	23084	67160
1279	23099	67134
1280	23123	67132
